id,date,line,part_ref,defect_code,qty,disposition,operator,comment
NC-0069,2026-06-30,L3,P-1001,D01,3,REWORK,AFD,rayure apres detourage
NC-0070,2026-06-30,L4,P-2001,D08,1,SCRAP,AFD,etiquette erronee
NC-0071,2026-07-01,L1,P-1002,D08,3,ACCEPT,YLD,etiquette erronee
NC-0072,2026-07-01,L2,P-2002,D04,2,SCRAP,JLB,cle non etalonnee?
NC-0073,2026-07-01,L2,P-2002,D08,1,ACCEPT,YLD,etiquette erronee
NC-0074,2026-07-01,L3,P-3001,D06,2,SCRAP,RMZ,decollement peau
NC-0075,2026-07-01,L4,P-2002,D01,1,ACCEPT,NCH,
NC-0076,2026-07-02,L1,P-1002,D04,2,ACCEPT,NCH,cle non etalonnee?
NC-0077,2026-07-02,L2,P-2001,D01,5,ACCEPT,TBN,rayure apres detourage
NC-0078,2026-07-02,L3,P-3001,D03,3,SCRAP,YLD,insert manquant
NC-0079,2026-07-02,L4,P-2001,D01,2,ACCEPT,NCH,rayure apres detourage
NC-0080,2026-07-03,L1,P-1001,D03,1,REWORK,YLD,insert manquant
NC-0081,2026-07-03,L2,P-2001,D08,2,REWORK,SAR,marquage illisible
NC-0082,2026-07-03,L3,P-1001,D08,2,ACCEPT,TBN,etiquette erronee
NC-0083,2026-07-03,L4,P-2002,D05,2,REWORK,AFD,
NC-0084,2026-07-06,L1,P-1001,D02,4,REWORK,AFD,choc manutention
NC-0085,2026-07-06,L2,P-2001,D03,1,REWORK,TBN,insert manquant
NC-0086,2026-07-06,L3,P-3001,D06,6,SCRAP,AFD,
NC-0087,2026-07-06,L3,P-3001,D01,2,REWORK,AFD,rayure face visible
NC-0088,2026-07-06,L4,P-2002,D02,6,REWORK,NCH,enfoncement coin
NC-0089,2026-07-06,L4,P-2001,D02,4,SCRAP,YLD,enfoncement coin
NC-0090,2026-07-07,L1,P-1001,D02,2,SCRAP,RMZ,choc manutention
NC-0091,2026-07-07,L2,P-2001,D02,3,REWORK,NCH,choc manutention
NC-0092,2026-07-07,L2,P-2002,D01,2,REWORK,YLD,rayure face visible
NC-0093,2026-07-07,L4,P-2002,D08,4,REWORK,JLB,
NC-0094,2026-07-08,L1,P-1001,D01,1,ACCEPT,NCH,rayure face visible
NC-0095,2026-07-08,L2,P-2001,D03,1,REWORK,JLB,insert manquant
NC-0096,2026-07-08,L3,P-3001,D06,1,REWORK,TBN,tentative reparation
NC-0097,2026-07-08,L3,P-3001,D01,2,ACCEPT,AFD,
NC-0098,2026-07-08,L4,P-2002,D02,6,SCRAP,SAR,enfoncement coin
NC-0099,2026-07-09,L2,P-2001,D05,4,SCRAP,NCH,epaisseur hors tol.
NC-0100,2026-07-09,L3,P-3001,D03,1,SCRAP,YLD,insert manquant
NC-0101,2026-07-09,L3,P-1001,D03,1,REWORK,NCH,fixation absente
NC-0102,2026-07-09,L4,P-2001,D07,2,SCRAP,NCH,FOD trouve
NC-0103,2026-07-09,L4,P-2002,D05,1,REWORK,SAR,epaisseur hors tol.
NC-0104,2026-07-10,L1,P-1002,D01,4,REWORK,YLD,rayure face visible
NC-0105,2026-07-10,L1,P-1002,D03,1,SCRAP,SAR,insert manquant
NC-0106,2026-07-10,L2,P-2001,D03,1,REWORK,MKH,insert manquant
NC-0107,2026-07-10,L2,P-2002,D08,2,REWORK,MKH,marquage illisible
NC-0108,2026-07-10,L3,P-1001,D06,5,SCRAP,YLD,
NC-0109,2026-07-10,L3,P-1001,D01,6,REWORK,NCH,rayure face visible
NC-0110,2026-07-10,L4,P-2002,D03,5,SCRAP,JLB,fixation absente
NC-0111,2026-07-13,L3,P-3001,D04,1,REWORK,JLB,couple hors spec
NC-0112,2026-07-13,L3,P-3001,D01,1,REWORK,TBN,rayure apres detourage
NC-0113,2026-07-13,L4,P-2002,D01,2,REWORK,JLB,rayure apres detourage
NC-0114,2026-07-13,L4,P-2001,D07,1,REWORK,AFD,
NC-0115,2026-07-14,L1,P-1002,D05,4,SCRAP,NCH,epaisseur hors tol.
NC-0116,2026-07-14,L1,P-1002,D01,2,REWORK,AFD,rayure face visible
NC-0117,2026-07-14,L2,P-2002,D04,1,REWORK,JLB,
NC-0118,2026-07-14,L2,P-2002,D05,3,SCRAP,RMZ,cote hors tol.
NC-0119,2026-07-14,L3,P-1001,D02,1,SCRAP,SAR,choc manutention
NC-0120,2026-07-14,L4,P-2001,D05,21,SCRAP,JLB,gabarit decale
NC-0121,2026-07-14,L4,P-2002,D02,1,SCRAP,RMZ,
NC-0122,2026-07-14,L4,P-2002,D03,4,SCRAP,YLD,fixation absente
NC-0123,2026-07-15,L1,P-1001,D03,1,REWORK,NCH,
NC-0124,2026-07-15,L3,P-3001,D01,2,REWORK,AFD,
NC-0125,2026-07-16,L1,P-1001,D02,-2,REWORK,TBN,correction saisie du 15/07
NC-0126,2026-07-16,L1,P-1002,D03,5,SCRAP,MKH,
NC-0127,2026-07-16,L2,P-2002,D07,2,SCRAP,JLB,FOD trouve
NC-0128,2026-07-16,L4,P-2001,D01,1,SCRAP,NCH,
NC-0129,2026-07-17,L1,P-1002,D01,3,REWORK,NCH,rayure apres detourage
NC-0130,2026-07-17,L3,P-3001,D04,1,REWORK,TBN,couple hors spec
NC-0131,2026-07-18,L4,P-2001,D06,6,SCRAP,RMZ,
NC-0132,2026-07-18,L4,P-2002,D07,1,SCRAP,MKH,contamination resine
NC-0133,2026-07-19,L4,P-2001,D01,3,ACCEPT,RMZ,rayure face visible
NC-0134,2026-07-20,L2,P-2001,D08,3,ACCEPT,SAR,
NC-0135,2026-07-20,L4,P-2001,D05,1,SCRAP,JLB,epaisseur hors tol.
NC-0136,2026-07-21,L1,P-1001,D01,2,REWORK,MKH,
NC-0137,2026-07-21,L1,P-1001,D07,1,REWORK,TBN,
NC-0138,2026-07-21,L3,P-3001,D04,1,REWORK,MKH,couple hors spec
NC-0139,2026-07-22,L1,P-1001,D03,2,REWORK,MKH,fixation absente
NC-0140,2026-07-22,L2,P-2001,D08,3,REWORK,AFD,marquage illisible
NC-0141,2026-07-22,L3,P-1001,D01,4,REWORK,MKH,rayure apres detourage
NC-0142,2026-07-22,L4,P-2001,D02,1,SCRAP,RMZ,enfoncement coin
NC-0143,2026-07-23,L1,P-1002,D03,2,ACCEPT,MKH,
NC-0144,2026-07-23,L1,P-1001,D04,2,REWORK,NCH,cle non etalonnee?
NC-0145,2026-07-23,L2,P-2001,D02,1,SCRAP,AFD,enfoncement coin
NC-0146,2026-07-23,L3,P-1001,D05,1,REWORK,MKH,epaisseur hors tol.
NC-0147,2026-07-23,L3,P-3001,D05,2,REWORK,RMZ,
NC-0148,2026-07-24,L2,P-2001,D05,6,REWORK,RMZ,cote hors tol.
NC-0149,2026-07-24,L3,P-3001,D01,1,REWORK,MKH,rayure apres detourage
NC-0150,2026-07-24,L4,P-2002,D04,1,SCRAP,AFD,cle non etalonnee?
